symbol,market,cname,ename
SPOT,UN,聲破天科技有限責任公司,SPOTIFY TECHNOLOGY SA
T,UN,AT&T公司,AT&T INC
VNO,UN,維納多不動產信託公司,VORNADO REALTY TRUST
WELL,UN,威爾塔公司,WELLTOWER INC
WOLF,UN,Wolfspeed公司,WOLFSPEED INC
BP,UN,BP公開有限公司,BP PLC-SPONS ADR
COP,UN,康菲石油,CONOCOPHILLIPS
ETN,UN,伊頓公開有限公司,EATON CORP PLC
GLW,UN,康寧公司,CORNING INC
GM,UN,通用汽車公司,GENERAL MOTORS CO
GNW,UN,簡沃瑟金融公司,GENWORTH FINANCIAL INC
HLF,UN,賀寶芙有限公司,HERBALIFE LTD
K,UN,家樂氏,KELLANOVA
MA,UN,萬事達卡,MASTERCARD INC - A
MRK,UN,默克藥廠,MERCK & CO. INC.
PFE,UN,輝瑞大藥廠股份有限公司,PFIZER INC
PSA,UN,公共存儲公司,PUBLIC STORAGE
SYK,UN,史賽克,STRYKER CORP
TPR,UN,掛毯公司,TAPESTRY INC
VMC,UN,瓦爾坎材料公司,VULCAN MATERIALS CO
HCA,UN,HCA醫療保健公司,HCA HEALTHCARE INC
ALL,UN,好事達保險公司,ALLSTATE CORP
BABA,UN,阿里巴巴集團控股有限公司,ALIBABA GROUP HOLDING-SP ADR
BKR,UN,貝克休斯公司,BAKER HUGHES CO
CF,UN,CF工業控股公司,CF INDUSTRIES HOLDINGS INC
DDD,UN,3D系統公司,3D SYSTEMS CORP
ETR,UN,安特吉公司,ENTERGY CORP
GE,UN,奇異公司,GENERAL ELECTRIC
H,UN,凱悅酒店集團,HYATT HOTELS CORP - CL A
HES,UN,赫斯公司,HESS CORP
MCK,UN,麥卡遜,MCKESSON CORP
MET,UN,大都會人壽,METLIFE INC
MGM,UN,美高梅度假村國際,MGM RESORTS INTERNATIONAL
NE,UN,Noble公開有限公司,NOBLE CORP PLC
RSG,UN,共和服務公司,REPUBLIC SERVICES INC
SO,UN,南方公司,SOUTHERN CO/THE
SPG,UN,賽門物業集團,SIMON PROPERTY GROUP INC
YUM,UN,百勝餐飲,YUM! BRANDS INC
YUMC,UN,百勝中國控股有限公司,YUM CHINA HOLDINGS INC
ADM,UN,Archer-Daniels-Midland Co,ARCHER-DANIELS-MIDLAND CO
